"%s was updated in your shopping cart.","Товар <strong>%s</strong> оновлено у кошику покупок."
"%s was successfully added to your shopping cart.","%s був успішно доданий до Вашого кошика."
"%s was added to your shopping cart.","%s був доданий (була додана) до Вашого кошика."
"&laquo; Back to Billing Information","&laquo; Повернутись до інформації про оплату"
"&laquo; Back to Select Addresses","&laquo; Повернутись до вибору адреси"
"&laquo; Back to Shopping Cart","&laquo; Повернутись до кошика"
"* Required Fields","* Обов'язкові поля"
"Add New Address","Додати нову адресу"
"Add New Condition","Додати нову умову"
"Add to Cart","Додати в кошик"
"Add to Compare","Порівняти"
"Add to Wishlist","Додати до списку бажаного"
"Address","Адреса"
"Address %s of %s","Адреса %s з %s"
"After adding a product redirect to shopping cart","Після додавання товару перейти до кошика"
"Allow Guest Checkout","Дозволити оформляти замовлення без реєстрації"
"Already registered?","Вже зареєстровані?"
"An error occurred in the process of payment","В поцесі оплати сталась помилка"
"Apply Coupon","Використати купон"
"Are you sure you would like to remove this item from the shopping cart?","Ви впевнені, що бажаєте видалити цей товар з кошика ?"
"Back","Повернутись"
"Back to Shipping Information","Повернутись до інформації про доставку"
"Based on your selection, you may be interested in the following items:","Вас можуть зацікавити такі товари:"
"Billing Address","Адреса оплати"
"Billing Information","Інформація про оплату"
"Billing Information - %s","Інформація про оплату - %s"
"Quote item is not found.", ""
"Update Cart","Оновити кошик"
"Can not add item to shopping cart","Неможливо додати товар у кошик"
"Can not apply coupon code.","Неможливо застосувати код купона."
"Can't open overview page","Неможливо відкрити сторінку з описом"
"Cancel Coupon","Відмінити купон"
"Cannot remove item","Неможливо видалити товар"
"Cannot update shopping cart","Неможливо оновити кошик"
"Card Verification Number Visual Reference","Інформація про вид контрольного коду на картці"
"Cart Subtotal:","Загальна вартість товару в кошику:"
"Change","Змінити"
"Change Billing Address","Змінити адресу оплати"
"Checkbox text","Checkbox text"
"Checkout","Оформлення замовлення"
"Clear Shopping Cart","Очистити кошик"
"Checkout Conditions","Умови оформлення замовлення"
"Checkout Options","Налаштування оформлення замовлення"
"Checkout Section","Розділ оформлення замовлення"
"Checkout Terms and Conditions","Умови та терміни оформлення замовлення"
"Checkout as Guest","Оформити замовлення без реєстрації"
"Checkout as a Guest or Register","Оформити замовлення без реєстрації або зареєструватись"
"Checkout method","Метод оформлення замовлення"
"Checkout with Multiple Addresses","Оформити замовлення з кількома адресами"
"City","Місто"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Клікніть <a href=""%s"" onclick=""this.target='_blank'"">тут щоб роздрукувати</a> копію інформації про Ваше замовлення."
"Click <a href=""%s"">here</a> to continue shopping.","Натисніть <a href=""%s"">тут</a>, щоб продовжити вибирати товари."
"Close","Закрити"
"Company","Компанія"
"Condition Name","Назва умови"
"Condition was successfully deleted","Умова була успішно видалена"
"Condition was successfully saved","Умова була успішно збережена"
"Configurable product image","Зображення конфігурованого товару"
"Confirm Password","Підтвердження паролю"
"Content","Зміст"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Продовжити"
"Continue Shopping","Перейти до магазину"
"Continue to Billing Information","Перейти до інформації про оплату"
"Continue to Review Your Order","Перейти до перегляду Вашого замовлення"
"Continue to Shipping Information","Перейти до інформації про доставку замовлення"
"Country","Країна"
"Coupon code ""%s"" is not valid.","Код купона ""%s"" недійсний."
"Coupon code ""%s"" was applied successfully.","Код купона ""%s"" був успішно застосований."
"Coupon code was canceled successfully.","Код купона був успішно відмінений."
"Create Billing Address","Нова адреса оплати"
"Create Shipping Address","Нова адреса доставки"
"Customer Address is not valid.","Недійсна адреса покупця."
"Data saving problem","Проблема збереження даних"
"Default Billing","Оплата за замовчуванням"
"Default Shipping","Доставка за замовчуванням"
"Delete Condition","Видалити умову"
"Details","Деталі"
"Disable Onepage Checkout","Відключити спрощене оформлення замовлення"
"Disabled","Відключено"
"Discount Codes","Коди знижок"
"Display Cart Summary","Відобразити підсумок у кошику"
