"You have logged out and will be redirected to our homepage in 5 seconds.","Ви успішно вийшли зі свого облікового запису і через 5 секунд будете перенаправлені на головну сторінку."
"I express consent to receive commercial information through electronic means of communication, including email.","Я висловлюю згоду на отримання комерційної інформації за допомогою засобів електронного зв'язку, зокрема, електронної пошти."
"I express my consent to process my personal data in accordance with paragraph 5 of Article 6 of the Law of Ukraine «On Personal Data Protection».", "Я висловлюю згоду на обробку моїх персональних даних відповідно до частини 5 статті 6 Закону України «Про захист персональних даних»"
"** Without your consent to the processing of personal data, we will be unable to fulfill your order","** Без Вашої згоди на обробку персональних даних ми не зможемо виконати замовлення"
"* Required Fields","* Required Fields"
"A new password was sent","Новий пароль надіслано"
"Account Dashboard","Загальна інформація"
"Account Information","Інформація про клієнта"
"Account Sharing Options","Дійсність облікового запису клієнта"
"Account information was successfully saved","Інформація про клієнта успішно збережена"
"Action","Дія"
"Add New Address","Додати нову адресу"
"Add New Customer","Додати нового клієнта"
"Add New Customer Group","Додати нову групу клієнтів"
"Added From","Додано"
"Additional Address Entries","Додаткові записи адреси"
"Address","Адреса"
"Address Book","Адресна книжка"
"Address Information","Інформація про адресу"
"Addresses","Адреси"
"Admin","Адміністратор"
"All","Всі"
"All Store Views","Всі магазини"
"All countries","Всі країни"
"Always optional","Always optional"
"Amount","Сума"
"Approved","Підтверджено"
"Are you sure that you want to remove this item?","Ви впевнені, що бажаєте видалити цей товар?"
"Are you sure you want to cancel adding of this address?","Ви впевнені, що бажаєте відмінити додавання цієї адреси?"
"Are you sure you want to delete this address?","Ви впевнені, що бажаєте видалити цю адресу?"
"Are you sure?","Ви впевнені?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Призначити групу клієнта"
"Average Sale","Середній рівень продаж"
"Back","Повернутись"
"Back to Login","Повернутись до входу в систему"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Інформація про оплату"
"Bought From","Куплено з"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Зареєстровані користувачі нашої крамниці мають можливість пришвидшити процес оформлення замовлення, зберігати декілька адрес для доставки, переглядати та відслідковувати свої замовлення тощо."
"CSV","CSV"
"Can't save address","Неможливо зберегти адресу"
"Can't save customer","Неможливо зберегти клієнта"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Відмінити"
"Change Account Password","Зміна паролю для користувача"
"Change Billing Address","Зміна адреси оплати"
"Change Password","Змінити пароль"
"Change Shipping Address","Зміна адреси поставки"
"City","Місто"
"Company","Компанія"
"Config","Налаштування"
"Confirm New Password","Підтвердити новий пароль"
"Confirm Password","Підтвердити пароль"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Контактна інформація"
"Continue Shopping","Повернутись до магазину"
"Country","Країна"
"Create","Create"
"Create New Account Options","Створити варіанти нового облікового запису"
"Create New Customer Account","Створити нового клієнта"
"Create Order","Свторити замовлення"
"Create an Account","Реєстрація"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Поточний пароль"
"Customer","Клієнт"
"Customer Addresses","Адреса клієнта"
"Customer Api","Customer Api"
"Customer Configuration","Налаштування клієнта"
"Customer Group","Група клієнтів"
"Customer Group was successfully deleted","Група клієнтів була успішно видалена"
"Customer Group was successfully saved","Група клієнтів була успішно збережена"
"Customer Groups","Групи клієнтів"
"Customer Information","Інформація про клієнта"
"Customer Login","Вхід для клієнта"
"Customer Since","Є клієнтом з"
"Customer View","Customer View"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Клієнт не має первинної адреси оплати "
"Customer email already exists","Еmail адреса клієнта вже існує"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Клієнти"
"Customers Only","Виключно клієнти"
"Customers Section","Customers Section"
"DD","DD"
"Date","Дата"
"Date Added","Додано:"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Днів у списку бажань"
"Default Addresses","Адреса по замовчуванню"
"Default Billing Address","Адреса оплати за замовчуванням"
"Default Email Domain","Email домен за замовчуванням"
"Default Group","Група за замовчуванням"
"Default Shipping Address","Адреса доставки за замовчуванням"
"Default Welcome Email","Default Welcome Email"
"Delete","Видалити"
"Delete Address","Видалити адресу"
"Delete Customer","Видалити клієнта"
"Delete Customer Group","Видалити групу клієнтів"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Видалити групу магазинів"
"Details","Деталі"
"Disabled","Не показувати"
"Edit","Редагувати"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Редагувати інформацію про обліковий запис"
"Edit Address","Редагувати адресу"
"Edit Address Entry","Редагувати запис адреси"
"Edit Customer Group ""%s""","Редагувати групу клієнтів ""%s"""
"Edit Customer Groups","Редагувати групи клієнтів"
"Edit Customer's Address","Редагувати адресу клієнта"
"Edit Group","Редагувати групу"
"Edit Newsletter Subscription","Редагувати підиску на інформаційні листи"
"Edit Newsletters","Редагувати інформаційні листи"
"Edit Personal Information","Редагувати персональну інформацію"
"Email","Email"
"Email Address","Email адреса"
"Email Sender","Відправник Email "
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Помилка при отриманні варіанту значення: %s"
"Ext. Price","Розширена ціна"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Факс"
"First Name","Ім'я"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Відправник листа про втрачений пароль"
"Forgot Email Template","Шаблон листа про втрачений пароль"
"Forgot Your Password?","Забули свій пароль?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","З панелі інструментів Вашої сторінки Ви маєте можливість переглянути Ваші нещодавні дії і оновити інофрмацію про обліковий запис. Перейдіть по посиланню, вказаному нижче, для перегляду або редагування інформації."
"General Subscription","Загальна підписка"
"Global","Всіх вебсайтів"
"Go to Address Book","Перейти до Адресної книжки"
"Grand Total","ВСЬОГО"
"Grand Total: %s","ВСЬОГО: %s"
"Group","Група"
"Group ""%s"" can not be deleted","Група ""%s"" не може бути видаленою"
"Group Information","Інофрмація про групу"
"Group Name","Назва групи"
"Guest","Гість"
"HTML","HTML"
"Hello, %s!","Вітаємо, %s!"
"ID","ID"
"IP Address","IP адреса"
"If you have an account with us, please log in.","Якщо Ви вже зареєстрований користувач, будь ласка, увійдіть в систему."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Невірний варіант атрибуту для атрибуту %s (%s), пропуск запису"
"Invalid attribute set specified, skipping the record","Невірний набір атрибутів заданий, пропуск запису "
"Invalid current password","Невірний поточний пароль"
"Invalid customer data","Невірні дані клієнта"
